timestamp_utc,kp,wakkanai_6m,kokubunji_6m,yamagawa_6m,oogimi_6m,wakkanai_10m,kokubunji_10m,yamagawa_10m,oogimi_10m,jet250_kmh
2026-09-01T03:45:58.219138,0,0,0,0,0,0,0,0,0,
2026-09-01T03:49:56.233612,0,0,0,0,0,0,0,0,0,
2026-09-01T03:53:47.281743,0,0,0,0,0,0,0,0,0,
2026-09-01T08:55:28.045921,1,0,0,0,0,0,0,0,0,
2026-09-01T09:27:28.015553,0,0,88,0,0,12,254,7,0,
2026-09-01T09:42:42.427822,1,1,36,0,0,61,856,25,0,
2026-09-01T09:43:20.224694,1,1,36,0,0,61,856,25,0,
2026-09-01T09:43:27.768831,1,1,36,0,0,61,856,25,0,
2026-09-01T09:43:30.218983,1,1,36,0,0,61,856,25,0,
2026-09-01T09:43:57.835579,1,1,44,0,0,64,831,24,0,
2026-09-01T09:58:34.060863,2,4,68,2,0,80,823,23,0,
2026-09-01T09:58:41.235730,2,4,68,2,0,80,823,23,0,
2026-09-01T09:58:47.634814,2,4,68,2,0,80,823,23,0,
2026-09-01T09:59:11.638990,2,4,68,2,0,80,823,23,0,
2026-09-01T10:13:48.341298,2,0,36,0,0,84,649,11,0,
2026-09-01T10:13:54.462774,2,0,36,0,0,84,649,11,0,
2026-09-01T10:14:01.225220,2,0,36,0,0,84,649,11,0,
2026-09-01T10:14:25.237719,2,0,36,0,0,84,649,11,0,
2026-09-01T10:29:02.754231,2,2,25,3,0,171,715,26,0,
2026-09-01T10:29:09.121148,2,2,25,3,0,171,715,26,0,
2026-09-01T10:29:15.849181,2,2,25,3,0,171,715,26,0,
2026-09-01T10:29:38.489407,2,2,25,3,0,171,715,26,0,
2026-09-01T10:44:17.205455,2,0,29,1,0,71,482,12,0,
2026-09-01T10:44:22.701006,2,0,29,1,0,71,482,12,0,
2026-09-01T10:44:52.161416,2,0,29,1,0,71,482,12,0,
2026-09-01T10:59:31.626867,2,0,63,0,0,46,224,4,0,
2026-09-01T10:59:38.805071,2,0,63,0,0,46,224,4,0,
2026-09-01T10:59:39.746063,2,0,63,0,0,46,224,4,0,
2026-09-01T11:00:06.020477,2,0,63,0,0,46,224,4,0,
2026-09-01T11:07:39.432795,2,0,36,0,0,85,463,13,0,
2026-09-01T11:22:55.978295,2,0,85,1,0,72,524,43,0,
2026-09-01T11:38:12.140396,3,0,36,2,0,52,536,15,0,
2026-09-01T11:53:34.597688,2,0,23,1,0,19,98,5,0,
2026-09-01T12:08:49.173038,0,0,2,0,0,22,107,4,0,
2026-09-01T12:19:30.100422,0,0,17,0,0,5,20,1,0,
2026-09-01T12:34:46.270604,0,0,33,1,0,1,8,0,0,
2026-09-01T12:42:53.585807,1,0,37,1,0,2,4,0,0,
2026-09-01T12:58:10.793642,1,0,19,0,0,1,2,3,0,
2026-09-01T13:13:26.264076,1,0,14,1,0,1,14,5,0,
2026-09-01T13:28:41.772829,1,0,13,0,0,0,10,1,0,
2026-09-01T13:43:56.978108,1,0,0,0,0,0,0,1,0,
2026-09-01T13:59:11.881664,1,0,0,0,0,0,0,0,0,
2026-09-01T14:00:05.276292,1,0,0,0,0,0,0,0,0,
